,0,1,2,3,4,5
223,그랜저 IG,2.4 스페셜,18/03식,"87,841km",가솔린,"2,300"
224,그랜저 HG,LPG HG300 장애인용,14/03식,"103,973km",LPG(일반인 구입),"1,190"
225,더 뉴 그랜저 IG,3.0 LPi 프리미엄 초이스,20/05식,"39,000km",LPG(일반인 구입),"3,180"
226,더 뉴 그랜저 IG,2.5 프리미엄,20/04식,"23,967km",가솔린,"3,290"
227,그랜저 HG,HG220 디젤 프리미엄,15/02식,"195,032km",디젤,810
228,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/09식(22년형),"5,236km",가솔린+전기,"4,699"
229,그랜저 IG,2.4 익스클루시브 스페셜,19/02식,"57,461km",가솔린,"2,830"
230,그랜저 IG,3.0 LPi 모던 (렌터카),18/12식(19년형),"133,068km",LPG(일반인 구입),"1,690"
231,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/03식,"19,894km",가솔린,"3,140"
232,그랜저 IG 하이브리드,익스클루시브,18/04식,"88,859km",가솔린+전기,"2,470"
233,그랜저 HG,HG220 디젤 프리미엄,15/02식,"188,093km",디젤,830
234,그랜저 IG,2.4 프리미엄,18/08식(19년형),"67,521km",가솔린,"2,220"
235,그랜저 IG,2.2 디젤 프리미엄 스페셜,17/07식(18년형),"93,000km",디젤,"2,570"
236,그랜저 HG,HG300 로얄,11/05식,"167,926km",가솔린,890
237,그랜저 HG,HG300 프리미엄,13/03식,"170,603km",가솔린,770
238,그랜저 IG,2.4 프리미엄 스페셜,17/11식(18년형),"13,859km",가솔린,"2,654"
239,그랜저 뉴 럭셔리,LPI Q270 모범형,09/11식(10년형),"169,946km",LPG(일반인 구입),420
240,그랜저 IG,3.0 익스클루시브 스페셜,16/12식(17년형),"128,330km",가솔린,"1,599"
241,그랜저 IG 하이브리드,익스클루시브 스페셜,17/05식(18년형),"73,000km",가솔린+전기,"2,950"
242,그랜저 IG,3.0 LPi 모던 (렌터카),19/01식,"74,788km",LPG(일반인 구입),"1,990"
243,그랜저 HG,HG300 노블,12/06식,"57,392km",가솔린,"1,150"
244,그랜저 IG 하이브리드,익스클루시브 스페셜,17/10식(18년형),"40,360km",가솔린+전기,"3,070"
245,그랜저 HG,HG220 디젤 프리미엄,14/11식(15년형),"107,199km",디젤,"1,470"
246,그랜저 IG,2.4 모던,18/11식(19년형),"151,970km",가솔린,"1,520"
247,그랜저 HG 하이브리드,프리미엄,14/01식,"281,630km",가솔린+전기,790
248,더 뉴 그랜저 IG,3.3 캘리그래피,20/03식,"40,879km",가솔린,"3,730"
249,,,,,,
250,그랜저 HG,HG220 디젤 프리미엄,14/11식(15년형),"107,199km",디젤,"1,470"
251,그랜저 IG,2.4 모던,18/11식(19년형),"151,970km",가솔린,"1,520"
252,그랜저 HG 하이브리드,프리미엄,14/01식,"281,630km",가솔린+전기,790
253,,,,,,
254,더 뉴 그랜저 IG,3.3 캘리그래피,20/03식,"40,879km",가솔린,"3,730"
255,더 뉴 그랜저 IG,3.3 캘리그래피,21/02식,"21,061km",가솔린,"3,960"
256,더 뉴 그랜저 IG,2.5 캘리그래피,20/04식,"15,889km",가솔린,"3,690"
257,그랜저 HG,HG300 익스클루시브,14/05식,"47,705km",가솔린,"1,385"
