,model,option,year,odometer,fuel,price,car
109,그랜저 HG 하이브리드,프리미엄,14/10식(15년형),137711,가솔린+전기,1380,grandure
110,그랜저 HG,HG300 프라임,12/04식,250829,가솔린,550,grandure
111,그랜저 HG,HG300 프라임,12/05식,172129,가솔린,690,grandure
112,그랜저 IG,3.0 익스클루시브 스페셜,18/02식,134000,가솔린,2095,grandure
113,더 뉴 그랜저 IG 하이브리드,르블랑,22/03식,240,가솔린+전기,3730,grandure
114,그랜저 IG,2.4 모던,18/01식,124619,가솔린,1680,grandure
115,더 뉴 그랜저 IG,2.5 익스클루시브,20/04식,21202,가솔린,3490,grandure
116,그랜저 IG,2.4 모던,17/10식(18년형),75223,가솔린,1880,grandure
117,그랜저 HG,HG240 모던,13/09식(14년형),135967,가솔린,990,grandure
118,그랜저 IG 하이브리드,익스클루시브,18/04식,18375,가솔린+전기,3280,grandure
119,더 뉴 그랜저 IG 하이브리드,캘리그래피,20/04식,45413,가솔린+전기,4330,grandure
120,그랜저 IG,2.2 디젤 모던,18/04식,107700,디젤,1930,grandure
121,그랜저 HG,HG240 럭셔리,12/01식,173900,가솔린,680,grandure
122,그랜저 IG,3.0 익스클루시브 스페셜,18/08식(19년형),23681,가솔린,2650,grandure
123,그랜저 TG,Q270 프리미어 기본형,05/08식,98034,가솔린,350,grandure
124,그랜저 HG,HG300 노블,11/06식,134682,가솔린,850,grandure
125,그랜저 HG,HG240 모던 컬렉션,16/06식(17년형),75378,가솔린,1590,grandure
126,더 뉴 그랜저 IG,2.5 익스클루시브,21/05식,7046,가솔린,3630,grandure
127,그랜저 IG,2.2 디젤 프리미엄 스페셜,18/01식,99143,디젤,2730,grandure
128,그랜저 IG,2.4 프리미엄,18/02식,90036,가솔린,2099,grandure
129,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/04식,16249,가솔린+전기,4369,grandure
130,그랜저 IG,2.4 프리미엄,18/07식(19년형),56175,가솔린,2450,grandure
131,그랜저 IG,2.4 모던,18/04식,20970,가솔린,2290,grandure
132,그랜저 IG,2.2 디젤 프리미엄,18/02식,87107,디젤,2150,grandure
133,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/05식(22년형),7055,가솔린+전기,4679,grandure
