,model,option,year,odometer,fuel,price,car
314,더 뉴 아반떼,1.6 GDi 스마트 기본형,13/12식(14년형),83146,가솔린,800,avante
315,더 뉴 아반떼 AD,1.6 프리미엄,18/10식(19년형),33614,가솔린,1699,avante
316,아반떼 MD,M16 GDI 프리미어,11/04식,159564,가솔린,599,avante
317,아반떼 AD,1.6 GDI 스마트,16/01식,77178,가솔린,1130,avante
318,아반떼 MD,M16 GDI 럭셔리,10/09식(11년형),130641,가솔린,540,avante
319,아반떼 MD,M16 GDI 프리미어,11/08식(12년형),153453,가솔린,610,avante
320,아반떼 AD,1.6 터보 스포츠,17/05식(18년형),86799,가솔린,1190,avante
321,아반떼 AD,1.6 GDI 스마트,15/12식(16년형),139559,가솔린,790,avante
322,아반떼 AD,1.6 GDI 스마트 스페셜,16/04식,149119,가솔린,980,avante
324,아반떼 AD,1.6 GDI 스마트,16/02식,112965,가솔린,790,avante
325,더 뉴 아반떼,1.6 GDi 스마트 기본형,15/03식,60105,가솔린,840,avante
326,아반떼 MD,M16 GDI 에비뉴,13/09식(14년형),104777,가솔린,735,avante
327,아반떼 AD,1.6 GDI 밸류 플러스,17/01식,82711,가솔린,1265,avante
328,아반떼 MD,M16 GDI 모던,13/01식,63856,가솔린,855,avante
329,더 뉴 아반떼,1.6 GDi 모던 기본형,14/10식(15년형),92514,가솔린,955,avante
330,아반떼 HD,1.6 VVT S16 럭셔리,06/08식(07년형),192009,가솔린,290,avante
331,아반떼 AD,1.6 GDI 스마트,16/01식,77178,가솔린,1130,avante
332,아반떼 하이브리드 (CN7),인스퍼레이션,21/01식,24094,가솔린+전기,2790,avante
333,아반떼 AD,1.6 터보 스포츠 오리지널,18/09식,27167,가솔린,1690,avante
334,아반떼 (CN7),2.0 N,21/09식(22년형),6368,가솔린,3790,avante
335,더 뉴 아반떼,1.6 GDi 프리미엄 기본형,13/11식(14년형),91238,가솔린,720,avante
336,아반떼 AD,1.6 GDI 스마트,17/12식(18년형),67995,가솔린,1290,avante
337,아반떼 AD,1.6 e-VGT 스마트,15/12식(16년형),65025,디젤,1140,avante
338,아반떼 AD,1.6 GDI 스타일,17/05식(18년형),48204,가솔린,1270,avante
339,아반떼 MD,M16 GDI 럭셔리,11/09식(12년형),63074,가솔린,630,avante
340,더 뉴 아반떼,1.6 GDi 모던 기본형,15/08식(16년형),79490,가솔린,980,avante
341,아반떼 MD,M16 GDI 모던,12/12식(13년형),99620,가솔린,685,avante
342,아반떼 AD,1.6 GDI 모던 스페셜,16/03식,90561,가솔린,1330,avante
343,더 뉴 아반떼 AD,1.6 스마트,18/12식(19년형),22489,가솔린,1580,avante
344,아반떼 (CN7),1.6 모던,20/05식(21년형),20709,가솔린,2180,avante
345,더 뉴 아반떼 AD,1.6 스마트,19/10식(20년형),21202,가솔린,1750,avante
346,더 뉴 아반떼,1.6 GDi 스마트 기본형,14/09식(15년형),43090,가솔린,980,avante
347,아반떼 AD,1.6 GDI 모던 스페셜,17/01식,57984,가솔린,1490,avante
348,아반떼 MD,M16 GDI 모던,12/10식(13년형),106246,가솔린,670,avante
349,아반떼 AD,1.6 GDI 밸류 플러스,17/07식(18년형),84869,가솔린,1250,avante
350,아반떼 AD,1.6 GDI 스마트,16/02식,89236,가솔린,1230,avante
351,아반떼 MD,M16 GDI 럭셔리,12/04식,100773,가솔린,580,avante
352,아반떼 (CN7),1.6 인스퍼레이션,21/04식,15513,가솔린,2530,avante
353,아반떼 AD,1.6 GDI 스마트,17/02식,61970,가솔린,1230,avante
354,더 뉴 아반떼,1.6 GDi 스마트 기본형,14/09식(15년형),43090,가솔린,980,avante
