,model,option,year,odometer,fuel,price,car
2909,쏘나타 뉴 라이즈,LPI 모던,18/02식,55000,LPG(일반인 구입),1750,sonata
2910,쏘나타 하이브리드,2.0 프리미어,12/12식,180000,가솔린+전기,670,sonata
2911,NF 쏘나타 트랜스폼,LPG N20 프리미어,08/05식,173717,LPG(일반인 구입),300,sonata
2912,YF 쏘나타,Y20 프리미어,10/08식(11년형),185135,가솔린,480,sonata
2913,LF 쏘나타,2.0 스마트,16/08식,54146,가솔린,1430,sonata
2914,NF 쏘나타,N20 엘레강스 스페셜 고급형,07/05식,109500,가솔린,320,sonata
2915,LF 쏘나타,LPI 프리미엄,16/05식(17년형),68000,LPG(일반인 구입),1250,sonata
2916,LF 쏘나타,LPI 모던,15/05식,98728,LPG(일반인 구입),1220,sonata
2917,YF 쏘나타,Y20 로얄,10/11식(11년형),42002,가솔린,600,sonata
2918,쏘나타 뉴 라이즈,LPI 모던,18/05식(19년형),108296,LPG(일반인 구입),1080,sonata
2920,LF 쏘나타,2.0 스마트,16/08식,54146,가솔린,1430,sonata
2921,쏘나타 뉴 라이즈,LPI 스타일,17/10식(18년형),188530,LPG(일반인 구입),810,sonata
2922,LF 쏘나타,LPI 프리미엄,14/06식(15년형),145916,LPG(일반인 구입),990,sonata
2923,LF 쏘나타,2.0 스마트 스페셜,14/05식(15년형),197297,가솔린,790,sonata
2924,쏘나타 하이브리드,2.0 로열,13/01식,260244,가솔린+전기,540,sonata
2925,쏘나타 뉴 라이즈,2.0 스마트,17/12식(18년형),78747,가솔린,1530,sonata
2926,LF 쏘나타,1.7 디젤 스타일,16/07식,110896,디젤,1050,sonata
2927,LF 쏘나타,LPI 스마트,16/10식(17년형),95628,LPG(일반인 구입),1100,sonata
2928,YF 쏘나타,Y20 탑 최고급형,10/09식,227130,가솔린,399,sonata
2929,쏘나타 뉴 라이즈,LPI 모던,18/06식(19년형),169932,LPG(일반인 구입),1199,sonata
2930,NF 쏘나타 트랜스폼,LPG N20 프리미어,07/12식(08년형),162639,LPG(일반인 구입),299,sonata
2931,YF 쏘나타,LPI 럭셔리,10/08식(11년형),46316,LPG(일반인 구입),690,sonata
2932,YF 쏘나타,Y20 프라임 블랙,11/02식,82371,가솔린,630,sonata
2933,LF 쏘나타,1.7 디젤 스타일,15/12식(16년형),94966,디젤,24,sonata
2934,쏘나타 (DN8),2.0 LPG(렌터카용) 스마트,19/07식(20년형),102165,LPG(일반인 구입),37,sonata
2935,쏘나타 뉴 라이즈,2.0 스마트,17/12식(18년형),89758,가솔린,32,sonata
2936,쏘나타 뉴 라이즈,LPI 모던(장애인용),18/02식,85754,LPG(일반인 구입),1750,sonata
2937,쏘나타 뉴 라이즈,2.0 스마트,17/12식(18년형),78747,가솔린,1530,sonata
2938,LF 쏘나타,1.7 디젤 스타일,16/07식,110896,디젤,1050,sonata
2939,LF 쏘나타,LPI 스마트,14/12식(15년형),99681,LPG(일반인 구입),880,sonata
2940,LF 쏘나타,LPI 스마트,16/10식(17년형),95628,LPG(일반인 구입),1100,sonata
2941,쏘나타 (DN8),2.0 LPG(렌터카용) 스마트,19/07식(20년형),99603,LPG(일반인 구입),38,sonata
2942,NF 쏘나타,N20 디럭스 고급형,06/06식,121027,가솔린,250,sonata
2943,LF 쏘나타,2.0 스타일,14/06식(15년형),141139,가솔린,890,sonata
2944,LF 쏘나타,2.0 스타일 스페셜,16/11식(17년형),219558,가솔린,560,sonata
2945,LF 쏘나타,2.0 스타일 스페셜,16/11식(17년형),203537,가솔린,570,sonata
2946,LF 쏘나타,2.0 스타일 스페셜,16/11식(17년형),243249,가솔린,570,sonata
2947,LF 쏘나타,2.0 스타일 스페셜,15/11식(16년형),115995,가솔린,650,sonata
2948,LF 쏘나타,2.0 스타일,15/11식(16년형),139821,가솔린,620,sonata
2949,쏘나타 하이브리드,2.0 스마트,13/10식(14년형),42531,가솔린+전기,1269,sonata
2950,쏘나타 하이브리드,2.0 프리미어,14/11식(15년형),95000,가솔린+전기,1050,sonata
2951,YF 쏘나타,LPI 럭셔리,11/09식(12년형),300000,LPG(일반인 구입),290,sonata
2952,NF 쏘나타,LPG N20 럭셔리 기본형,06/05식,150000,LPG(일반인 구입),270,sonata
2953,YF 쏘나타,Y20 그랜드,10/10식(11년형),147305,가솔린,350,sonata
2954,쏘나타 (DN8),1.6 터보 프리미엄 패밀리,21/03식,16812,가솔린,2650,sonata
2955,쏘나타 뉴 라이즈,LPI 스타일,17/05식(18년형),152000,LPG(일반인 구입),980,sonata
2956,LF 쏘나타,2.0 스마트,14/12식(15년형),140000,가솔린,1079,sonata
2957,LF 쏘나타,LPI 모던,15/04식,91961,LPG(일반인 구입),1180,sonata
2958,쏘나타 (DN8),2.0 프리미엄,20/02식,5703,가솔린,2340,sonata
2959,LF 쏘나타,LPI 택시형 스타일,15/10식(16년형),167648,LPG(일반인 구입),599,sonata
2960,YF 쏘나타,LPI 럭셔리,10/12식(11년형),222920,LPG(일반인 구입),279,sonata
2961,쏘나타 더 브릴리언트,LPI 택시형 모던,14/01식,264507,LPG(일반인 구입),299,sonata
2962,쏘나타 더 브릴리언트,LPI 스타일,12/07식(13년형),276402,LPG(일반인 구입),279,sonata
2963,쏘나타 더 브릴리언트,CVVL 모던,13/03식,111834,가솔린,610,sonata
2964,YF 쏘나타,Y20 프리미어 최고급형,10/02식,262615,가솔린,348,sonata
2965,LF 쏘나타,2.0 프리미엄,14/06식(15년형),92584,가솔린,1549,sonata
2966,YF 쏘나타,CVVL 럭셔리,12/03식,196299,가솔린,398,sonata
2967,쏘나타 뉴 라이즈,2.0 모던,19/02식,78100,가솔린,1730,sonata
2968,NF 쏘나타,N20 블랙 프리미어,07/08식(08년형),166717,가솔린,250,sonata
2969,LF 쏘나타,LPI 스마트(장애인용),14/07식(15년형),123158,LPG(일반인 구입),1150,sonata
2970,쏘나타 (DN8),2.0 LPG(렌터카용) 스타일,19/05식(20년형),82002,LPG(일반인 구입),1599,sonata
2971,쏘나타 (DN8),2.0 LPG(렌터카용) 스타일,19/05식(20년형),89540,LPG(일반인 구입),1680,sonata
2972,LF 쏘나타,LPI 모던,15/04식,91961,LPG(일반인 구입),1180,sonata
2973,쏘나타 (DN8),2.0 프리미엄,20/02식,5703,가솔린,2340,sonata
2974,쏘나타 더 브릴리언트,LPI 스마트,12/12식(13년형),154600,LPG(일반인 구입),570,sonata
2975,LF 쏘나타,2.0 스마트,14/08식(15년형),163957,가솔린,895,sonata
2976,NF 쏘나타 트랜스폼,LPG N20 고급형,09/02식,154966,LPG(일반인 구입),390,sonata
2977,쏘나타 뉴 라이즈,LPI 모던,18/04식(19년형),75520,LPG(일반인 구입),1620,sonata
2978,쏘나타 뉴 라이즈,2.0 스마트,18/02식,52417,가솔린,1720,sonata
2979,쏘나타 뉴 라이즈,2.0 스마트 초이스,18/04식(19년형),49109,가솔린,1820,sonata
2980,LF 쏘나타,LPI 스마트(장애인용),14/07식(15년형),123158,LPG(일반인 구입),1150,sonata
2981,쏘나타 (DN8),2.0 LPG(렌터카용) 스타일,19/05식(20년형),82002,LPG(일반인 구입),1599,sonata
2982,쏘나타 (DN8),2.0 LPG(렌터카용) 스타일,19/05식(20년형),89540,LPG(일반인 구입),1680,sonata
2983,LF 쏘나타,2.0 스마트,14/05식(15년형),122968,가솔린,970,sonata
2984,쏘나타 뉴 라이즈,LPI 스타일,18/08식(19년형),75556,LPG(일반인 구입),1520,sonata
2985,YF 쏘나타,LPI 럭셔리,11/02식,154440,LPG(일반인 구입),580,sonata
2986,쏘나타 더 브릴리언트,LPI 프리미엄,13/04식,191945,LPG(일반인 구입),555,sonata
2987,쏘나타 (DN8),2.0 프리미엄 패밀리,19/05식(20년형),72278,가솔린,1890,sonata
2988,NF 쏘나타 트랜스폼,LPG N20 프리미어,09/09식(10년형),128385,LPG(일반인 구입),239,sonata
2989,쏘나타 뉴 라이즈 하이브리드,모던,18/09식(19년형),35597,가솔린+전기,2350,sonata
2990,YF 쏘나타,Y20 프라임 블랙,10/08식(11년형),175771,가솔린,460,sonata
2991,쏘나타 더 브릴리언트,CVVL 스마트,12/12식(13년형),210853,가솔린,520,sonata
2992,LF 쏘나타,LPI 스마트,16/06식(17년형),77000,LPG(일반인 구입),1330,sonata
2993,NF 쏘나타 트랜스폼,N20 럭셔리,08/09식(09년형),122162,가솔린,350,sonata
2994,YF 쏘나타,Y20 프리미어 고급형,10/02식,138000,가솔린,570,sonata
2995,쏘나타 (DN8),2.0 프리미엄 밀레니얼,19/09식(20년형),42000,가솔린,2380,sonata
2996,LF 쏘나타,2.0 스마트,16/06식,51023,가솔린,1640,sonata
2998,LF 쏘나타,LPI 모던(장애인용),16/04식,118000,LPG(일반인 구입),1350,sonata
2999,쏘나타 뉴 라이즈 하이브리드,스마트,18/05식(19년형),85658,가솔린+전기,1960,sonata
3000,LF 쏘나타,LPI 모던,15/06식,140431,LPG(일반인 구입),870,sonata
3001,NF 쏘나타,N20 디럭스 고급형,05/10식(06년형),33062,가솔린,409,sonata
