,model,option,year,odometer,fuel,price,car
1871,싼타페 TM,디젤 2.0 2WD 익스클루시브 스페셜,18/04식(19년형),88000,디젤,2690,santafe
1872,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,13/07식(14년형),145700,디젤,1270,santafe
1873,싼타페 TM,가솔린 2.0T 2WD 프리미엄,18/06식(19년형),85032,가솔린,2299,santafe
1874,싼타페 DM,디젤(e-VGT) 2.2 2WD 익스클루시브,14/01식,194369,디젤,1170,santafe
1875,싼타페 TM,디젤 2.0 2WD 프레스티지,18/06식(19년형),37140,디젤,2745,santafe
1876,싼타페 더 프라임,디젤 2.0 2WD 모던,15/08식(16년형),102873,디젤,1599,santafe
1877,싼타페 TM,가솔린 2.0T 2WD 인스퍼레이션,18/11식(19년형),36106,가솔린,2650,santafe
1878,싼타페 TM,디젤 2.0 2WD 프리미엄,18/06식(19년형),89928,디젤,2250,santafe
1879,싼타페 TM,디젤 2.0 4WD 익스클루시브 스페셜,18/05식(19년형),84565,디젤,2599,santafe
1880,싼타페 더 프라임,디젤 2.0 2WD 프리미엄,15/10식(16년형),43940,디젤,1790,santafe
1881,싼타페 TM,디젤 2.0 2WD 프리미엄,18/06식(19년형),89928,디젤,2250,santafe
1882,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브,15/10식(16년형),92655,디젤,1899,santafe
1883,싼타페 더 프라임,디젤 2.0 4WD 익스클루시브 스페셜,17/04식(18년형),81086,디젤,2380,santafe
1884,싼타페 TM,디젤 2.2 4WD 익스클루시브,18/04식(19년형),95005,디젤,2599,santafe
1885,싼타페 DM,디젤(e-VGT) 2.0 4WD 익스클루시브,14/05식(15년형),165164,디젤,1350,santafe
1886,싼타페 TM,디젤 2.0 2WD 프레스티지,18/03식(19년형),70000,디젤,2550,santafe
1887,싼타페 더 프라임,디젤 2.0 2WD 프리미엄,18/01식,52897,디젤,2199,santafe
1888,싼타페 더 프라임,디젤 2.0 4WD 프리미엄,17/06식(18년형),42471,디젤,2069,santafe
1889,싼타페 DM,디젤(e-VGT) 2.0 2WD 모던,14/03식(15년형),145019,디젤,1320,santafe
1890,싼타페 TM,디젤 2.0 2WD 프리미엄,18/06식(19년형),77318,디젤,2450,santafe
1891,싼타페 TM,디젤 2.0 2WD 익스클루시브 스페셜,18/02식(19년형),41802,디젤,2880,santafe
1892,더 뉴 싼타페,디젤 2.2 2WD 프레스티지,21/01식,10990,디젤,3580,santafe
1893,싼타페 더 프라임,디젤 2.0 4WD 익스클루시브 스페셜,17/04식(18년형),81086,디젤,2380,santafe
1894,싼타페 DM,디젤(e-VGT) 2.0 4WD 익스클루시브,14/08식(15년형),153984,디젤,1320,santafe
1895,싼타페 더 프라임,디젤 2.2 4WD 익스클루시브 스페셜,16/09식(17년형),149601,디젤,1780,santafe
1896,싼타페 CM,2WD(2.0 e-VGT) MLX 럭셔리,11/03식,217650,디젤,580,santafe
1897,싼타페 TM,디젤 2.0 4WD 프리미엄,18/04식(19년형),59884,디젤,2480,santafe
1898,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,13/01식,145898,디젤,1290,santafe
1899,싼타페 TM,디젤 2.0 2WD 프리미엄,18/06식(19년형),77318,디젤,2450,santafe
1900,싼타페 TM,디젤 2.0 2WD 익스클루시브 스페셜,18/02식(19년형),41802,디젤,2880,santafe
1901,싼타페 TM,디젤 2.0 2WD 프리미엄,18/06식(19년형),77318,디젤,2450,santafe
1902,싼타페 TM,디젤 2.0 2WD 익스클루시브 스페셜,18/02식(19년형),41802,디젤,2880,santafe
1903,싼타페 DM,디젤(e-VGT) 2.0 4WD 프리미엄,13/11식(14년형),112040,디젤,1390,santafe
1904,더 뉴 싼타페,디젤 2.2 2WD 프레스티지,20/10식(21년형),13368,디젤,3450,santafe
1905,싼타페 CM,2WD(2.0VGT) MLX 기본형,09/05식,180522,디젤,470,santafe
1906,싼타페 CM,2WD(2.2VGT) MLX 최고급형,07/09식(08년형),113000,디젤,540,santafe
1908,싼타페 TM,디젤 2.0 4WD 익스클루시브,18/07식(19년형),55720,디젤,2820,santafe
1909,싼타페 더 프라임,디젤 2.0 4WD 프리미엄,17/12식(18년형),24814,디젤,2150,santafe
1910,싼타페 더 프라임,디젤 2.2 2WD 익스클루시브 스페셜,16/03식,104643,디젤,2230,santafe
1911,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,15/07식,83854,디젤,1550,santafe
1912,싼타페 더 프라임,디젤 2.2 4WD 익스클루시브 스페셜,16/04식,97268,디젤,2100,santafe
1913,싼타페 TM,디젤 2.0 2WD 프레스티지,18/04식(19년형),76115,디젤,2740,santafe
1914,더 뉴 싼타페,디젤 2.2 2WD 프레스티지,21/02식,40904,디젤,3650,santafe
1915,싼타페 DM,디젤(e-VGT) 2.0 4WD 익스클루시브,14/12식(15년형),111073,디젤,1490,santafe
1916,싼타페 CM,2WD(2.0VGT) MLX 기본형,09/04식,195072,디젤,430,santafe
1917,싼타페 더 프라임,디젤 2.0 2WD 프리미엄,15/08식(16년형),107726,디젤,1690,santafe
1918,더 뉴 싼타페,디젤 2.2 2WD 프레스티지,21/02식,10812,디젤,3590,santafe
1919,싼타페 TM,디젤 2.0 4WD 익스클루시브,18/07식(19년형),55720,디젤,2820,santafe
1920,싼타페 DM,디젤(e-VGT) 2.2 2WD 프리미엄,13/01식,188853,디젤,999,santafe
1921,싼타페,2.0 VGT 디젤 2WD GOLD 기본형,04/01식,236189,디젤,170,santafe
1922,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,13/09식(14년형),134709,디젤,1270,santafe
1923,싼타페 더 프라임,디젤 2.2 4WD 익스클루시브 스페셜,16/04식,97268,디젤,2100,santafe
1924,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브 스페셜,15/11식(16년형),63747,디젤,1990,santafe
1925,더 뉴 싼타페,디젤 2.2 2WD 프레스티지,21/02식,40904,디젤,3650,santafe
1926,더 뉴 싼타페,디젤 2.2 2WD 프레스티지,21/02식,10812,디젤,3590,santafe
1927,싼타페 TM,디젤 2.0 2WD 프레스티지,18/05식(19년형),84673,디젤,2690,santafe
1928,싼타페 TM,디젤 2.0 4WD 익스클루시브 스페셜,18/04식(19년형),58698,디젤,9999,santafe
1929,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,12/08식(13년형),121058,디젤,1180,santafe
1930,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브 스페셜,15/07식(16년형),73260,디젤,2070,santafe
1931,싼타페 TM,디젤 2.0 4WD 익스클루시브,18/06식(19년형),66839,디젤,2690,santafe
1932,싼타페 CM,2WD(2.0VGT) MLX 고급형,08/07식,118374,디젤,560,santafe
1933,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,14/05식(15년형),166943,디젤,1260,santafe
1934,싼타페 더 프라임,디젤 2.2 2WD 익스클루시브 스페셜,15/07식(16년형),75549,디젤,2160,santafe
