,model,option,year,odometer,fuel,price,car
2174,더 뉴 G70,가솔린 3.3T 4WD,21/06식,379,가솔린,5270,genesis
2175,G70,2.2D AWD 슈프림,18/05식,122375,디젤,2520,genesis
2176,G80 (RG3),가솔린 2.5 터보 2WD,20/05식(21년형),20423,가솔린,5290,genesis
2177,GV80,2.5T 가솔린 AWD,20/05식,18090,가솔린,6990,genesis
2178,EQ900,3.8 GDI AWD 프레스티지,16/06식,157800,가솔린,2750,genesis
2179,G70,3.3T 스포츠 AWD 프레스티지,19/03식,28639,가솔린,3990,genesis
2180,G90,3.8 AWD 프리미엄 럭셔리,19/02식,131048,가솔린,5100,genesis
2181,G80,3.3 GDI AWD 럭셔리,18/02식,77934,가솔린,2670,genesis
2182,GV70,3.5T 가솔린 AWD,21/04식,7994,가솔린,9999,genesis
2183,G80 (RG3),가솔린 2.5 터보 AWD,20/05식(21년형),9423,가솔린,5390,genesis
2184,G70,2.2D AWD 슈프림,18/03식,104013,디젤,2790,genesis
2185,G80,2.2D AWD 프리미엄 럭셔리,18/03식,52149,디젤,4060,genesis
2186,G80,2.2D AWD 럭셔리,18/06식,126174,디젤,2699,genesis
2187,G80,3.3 GDI AWD 럭셔리,17/08식(18년형),125493,가솔린,2380,genesis
2188,G70,2.0T AWD 슈프림,18/04식,45001,가솔린,3350,genesis
2189,G80 (RG3),가솔린 3.5 터보 AWD,20/05식(21년형),47679,가솔린,5950,genesis
2190,GV80,3.0 디젤 AWD,20/03식,45114,디젤,7450,genesis
2191,EQ900,3.8 GDI AWD 프리미엄 럭셔리,18/01식,104121,가솔린,3690,genesis
2192,GV70,2.5T 가솔린 AWD,21/03식,27040,가솔린,5150,genesis
2193,EQ900,5.0 GDI AWD 프레스티지,16/05식,166858,가솔린,3590,genesis
2194,G80,3.8 GDI AWD 프레스티지,16/10식(17년형),151077,가솔린,2450,genesis
2195,EQ900,5.0 GDI AWD 프레스티지,16/03식,139701,가솔린,2970,genesis
2196,GV70,2.5T 가솔린 AWD,21/10식(22년형),4289,가솔린,6480,genesis
2197,G70,2.0T AWD 슈프림,18/03식,59000,가솔린,2750,genesis
2198,G80,3.3 GDI AWD 프리미엄 럭셔리,19/04식,48005,가솔린,4130,genesis
2199,EQ900,3.8 GDI AWD 프리미엄 럭셔리,18/03식,132233,가솔린,3420,genesis
2200,G90,3.8 AWD 프레스티지,20/02식,62553,가솔린,7570,genesis
2201,G90,3.3 T AWD 프리미엄 럭셔리,19/01식,41519,가솔린,6850,genesis
2202,G80,3.3 GDI 프레스티지,18/07식,58000,가솔린,3450,genesis
2203,EQ900,3.8 GDI AWD 프리미엄 럭셔리,18/03식,132233,가솔린,3420,genesis
2204,G80,3.3 GDI AWD 프리미엄 럭셔리,19/04식,48005,가솔린,4130,genesis
2205,G90,3.3 T 럭셔리,19/01식,118967,가솔린,5500,genesis
2206,G90,3.8 AWD 프레스티지,20/02식,62553,가솔린,7570,genesis
2207,G80,3.3 GDI 럭셔리,17/08식(18년형),52553,가솔린,2820,genesis
2208,G80,3.8 GDI AWD 프레스티지,19/09식,75705,가솔린,3500,genesis
2209,G80,3.3 GDI AWD 프리미엄 럭셔리,18/01식,32156,가솔린,3670,genesis
2210,G80,3.3 GDI AWD 프리미엄 럭셔리,16/09식(17년형),119485,가솔린,2799,genesis
2211,EQ900,3.8 GDI AWD 프리미엄 럭셔리,17/08식(18년형),100575,가솔린,3680,genesis
2212,G80,3.3 GDI AWD 럭셔리,18/04식,5655,가솔린,3500,genesis
2213,G80 (RG3),가솔린 2.5 터보 AWD,21/10식(22년형),3977,가솔린,6150,genesis
2214,G80,3.3 GDI AWD 럭셔리,19/04식,84147,가솔린,2990,genesis
2215,G80,2.2D AWD 프리미엄 럭셔리,18/03식,86184,디젤,3850,genesis
2216,EQ900,3.8 GDI AWD 프리미엄 럭셔리,18/06식,77613,가솔린,4350,genesis
2218,G90,3.8 럭셔리,18/12식(19년형),50936,가솔린,5780,genesis
2219,G80,3.3 GDI AWD 프리미엄 럭셔리,18/04식,34716,가솔린,3399,genesis
2220,G90,3.3 T AWD 프리미엄 럭셔리,19/01식,41519,가솔린,6850,genesis
2221,G80,3.3 GDI AWD 럭셔리,19/03식,61529,가솔린,3270,genesis
2222,G80,3.3 GDI AWD 프리미엄 럭셔리,16/08식(17년형),162372,가솔린,2230,genesis
2223,G80,2.2D AWD 럭셔리,19/01식,76738,디젤,3650,genesis
2224,더 뉴 G70,가솔린 3.3T 4WD,21/06식,379,가솔린,5270,genesis
2225,G70,2.2D AWD 슈프림,18/05식,122375,디젤,2520,genesis
2226,G80 (RG3),가솔린 2.5 터보 2WD,20/05식(21년형),20423,가솔린,5290,genesis
2227,GV80,2.5T 가솔린 AWD,20/05식,18090,가솔린,6990,genesis
2228,EQ900,3.8 GDI AWD 프레스티지,16/06식,157800,가솔린,2750,genesis
2229,G70,3.3T 스포츠 AWD 프레스티지,19/03식,28639,가솔린,3990,genesis
2230,G90,3.8 AWD 프리미엄 럭셔리,19/02식,131048,가솔린,5100,genesis
2231,G80,3.3 GDI AWD 럭셔리,18/02식,77934,가솔린,2670,genesis
2232,GV70,3.5T 가솔린 AWD,21/04식,7994,가솔린,9999,genesis
2233,G80 (RG3),가솔린 2.5 터보 AWD,20/05식(21년형),9423,가솔린,5390,genesis
2234,G70,2.2D AWD 슈프림,18/03식,104013,디젤,2790,genesis
2235,G80,2.2D AWD 프리미엄 럭셔리,18/03식,52149,디젤,4060,genesis
2236,G80,2.2D AWD 럭셔리,18/06식,126174,디젤,2699,genesis
2237,G80,3.3 GDI AWD 럭셔리,17/08식(18년형),125493,가솔린,2380,genesis
2238,G70,2.0T AWD 슈프림,18/04식,45001,가솔린,3350,genesis
2239,G80 (RG3),가솔린 3.5 터보 AWD,20/05식(21년형),47679,가솔린,5950,genesis
2240,GV80,3.0 디젤 AWD,20/03식,45114,디젤,7450,genesis
2241,EQ900,3.8 GDI AWD 프리미엄 럭셔리,18/01식,104121,가솔린,3690,genesis
2242,GV70,2.5T 가솔린 AWD,21/03식,27040,가솔린,5150,genesis
2243,EQ900,5.0 GDI AWD 프레스티지,16/05식,166858,가솔린,3590,genesis
2244,G80,3.8 GDI AWD 프레스티지,16/10식(17년형),151077,가솔린,2450,genesis
2245,EQ900,5.0 GDI AWD 프레스티지,16/03식,139701,가솔린,2970,genesis
2246,GV70,2.5T 가솔린 AWD,21/10식(22년형),4289,가솔린,6480,genesis
2247,G70,2.0T AWD 슈프림,18/03식,59000,가솔린,2750,genesis
2248,G80,3.3 GDI AWD 프리미엄 럭셔리,19/04식,48005,가솔린,4130,genesis
2249,EQ900,3.8 GDI AWD 프리미엄 럭셔리,18/03식,132233,가솔린,3420,genesis
2250,G90,3.8 AWD 프레스티지,20/02식,62553,가솔린,7570,genesis
2251,G80,3.3 GDI 럭셔리,17/08식(18년형),52553,가솔린,2820,genesis
2252,G80,3.3 GDI AWD 프리미엄 럭셔리,18/01식,32156,가솔린,3670,genesis
2253,G90,3.3 T 럭셔리,19/01식,118967,가솔린,5500,genesis
2254,G80,3.8 GDI AWD 프레스티지,19/09식,75705,가솔린,3500,genesis
2255,G80,3.3 T-GDI 스포츠,18/03식,138891,가솔린,3080,genesis
2256,G80,3.3 GDI AWD 럭셔리,18/07식,86094,가솔린,2820,genesis
2257,G80 (RG3),가솔린 2.5 터보 AWD,21/11식(22년형),3174,가솔린,6450,genesis
2258,G80,3.3 GDI AWD 럭셔리,18/04식,5655,가솔린,3500,genesis
2259,G90,3.8 AWD 프리미엄 럭셔리,19/12식,55904,가솔린,6380,genesis
